Concentration (micromolar),Grp 1 All ,Grp 1 Dead,Grp 1 Mortality Rate,Grp 2 All,Grp 2 Dead,Grp 2 Mortality Rate,Grp 3 All ,Grp 3 Dead,Grp 3 Mortality Rate,Grp 4 All ,Grp 4 Dead,Grp 4 Mortality Rate,Grp 5 All ,Grp 5 Dead,Grp 5 Mortality Rate,Grp 6 All ,Grp 6 Dead,Grp 6 Mortality Rate
0,883,24,0.027180068,1354,115,0.08493353,1316,161,0.122340426,1387,58,0.041816871,1445,260,0.179930796,1490,55,0.036912752
0.001,892,13,0.014573991,1126,105,0.093250444,1685,300,0.178041543,1566,100,0.06385696,1655,46,0.027794562,1526,114,0.074705111
0.01,987,27,0.027355623,1593,79,0.049591965,1354,221,0.163220089,1774,77,0.043404735,1759,108,0.061398522,2235,61,0.027293065
0.05,1048,179,0.170801527,1545,151,0.097734628,2009,137,0.068193131,1803,125,0.069328896,1403,154,0.10976479,1251,126,0.100719424
0.1,1164,295,0.253436426,1361,426,0.313005143,1697,425,0.250441956,1748,486,0.278032037,1894,409,0.21594509,2340,334,0.142735043
0.25,975,259,0.265641026,1331,435,0.326821938,1504,415,0.275930851,1902,598,0.314405889,1676,548,0.326968974,1597,653,0.408891672
0.5,807,195,0.241635688,1109,441,0.397655546,1298,458,0.352850539,1843,527,0.285946826,1678,638,0.380214541,1400,616,0.44
1,892,294,0.329596413,1279,336,0.262705238,1399,418,0.298784846,2163,524,0.242256126,2354,499,0.211979609,2577,618,0.239813737
2.5,622,144,0.231511254,1132,260,0.229681979,1264,350,0.276898734,1378,555,0.40275762,1592,483,0.30339196,1198,346,0.288814691
5,739,165,0.223274696,958,251,0.262004175,1938,547,0.282249742,1857,545,0.293484114,1596,335,0.209899749,2176,464,0.213235294
